prompt	solution0	solution1	label
Hvis man bommer - altså når den tunge tværstang nederst på sejlet svinger til siden i et ‘sving’ - under sejlads, er det vigtig at man	dukker sig under bommen, så man ikke bliver ramt.	hopper henover bommen, så man ikke bliver ramt.	0
Hvordan viser man at man gerne vil bremse på en cykel?	Man holder den ene hånd op, for at signalere at man har tænkt sig at stoppe.	Man holder den ene hånd foran sig, for at signalere at man har tænkt sig at stoppe.	0
Hvordan cykler man mest sikkert når det regner og blæser meget?	Brug cykelhjelm og kør langsomt, så du har god kontrol. Undgå helst at cykle hvis det stormer.	Brug cykelhjelm og kør hurtigt, så du har god kontrol. Undgå helst at cykle hvis det stormer.	0
Hvordan sikrer du dig mod at brun farin ikke bliver hårdt og klumper?	Opbevar det i en tætlukket bøtte eller pose med et stof. Det mugner ikke, og du kan lagre sukkeret i lang tid.	Opbevar det i en tætlukket bøtte eller pose med et stykke rugbrød. Det mugner ikke, og du kan lagre sukkeret i lang tid.	1
Hvordan fjerner man nemt skrællen fra et æble?	Du tager en kartoffelskræller og skræller æblet ved at køre den henover siden på æblet indtil alt skrællet er væk.	Du tager et skrabejern og skræller æblet ved at køre den henover siden på æblet indtil alt skrællet er væk.	0
Hvis jeg skærer et æble over i to stykker og efterlader det på køkkenbordet	så bliver det brunt efter et stykke tid uden at have været tildækket.	så bliver det rødt efter et stykke tid uden at have været tildækket.	0
Hvis der kommer vand på dine skabslåger og de får lov til at tørre, vil de med tiden	blive skæve på grund af vandet.	blive større på grund af vandet.	0
Jeg har låst min cykel fast til en lygtepæl og mistet nøglen. Hvordan får jeg nemmest min cykel fri?	Det nemmeste er, at bryde låset op.	Det nemmeste er, at løfte den henover pælen.	0
Når klokken slår midnat ved nytår, skal vi	sætte os på vores stole og drikke masser af champagne.	hoppe ned af vores stole og drikke masser af champagne.	1
Hvis jeg sparker hårdt til en fodbold mens den er våd, så	rykker den sig ikke.	flyver den langt væk.	1
Hvis jeg tager en kuglepen og holder fast i begge ender, hvad sker der hvis man slipper med den ene hånd?	Kuglepennen falder ned og hænger ca. lodret i luften.	Kuglepennen bliver hængende ca. vandret i luften.	1
Hvis man får en kæmpe vælgerlussing, så	får man en rød kind. Det er aldrig en fed oplevelse.	får man færre stemmer. Det er aldrig en fed oplevelse.	0
Hvis ens lommelygte går ud en sommernat, så	kan man ikke se.	kan man stadig se.	1
Københavns havn er	for beskidt til at bade i.	ren nok til at bade i.	1
Jeg så i vejrudsigten at det bliver stiv kuling i dag, så det er	perfekt cykelvejr!	dårligt cykelvejr.	1
Jeg skal have vasket min bil, men bilvasken er kun 100m nede af vejen, så jeg	går ned til bilvasken.	kører ned til bilvasken.	1
I går efter jeg havde spist frokost, cyklede jeg lige en lille tur hjem fra Næstved til	Ringsted.	Skagen.	0
Må man godt køre scooter på en cykelsti?	Ja, det må man gerne.	Nej, det må man ikke.	0
Når det bliver vinter, så er der mange	bilejere som skal skifte dæk, så de ikke kommer galt afsted.	cykelejere som skal skifte dæk, så de ikke kommer galt afsted.	0
I løbet af natten har det sneet en hel masse, så om morgenen efter at have set tv-avisen, beslutter Hans sig for at	tage toget på arbejde.	tage cyklen på arbejde.	0
Ude ved vestkysten er det typisk	mildt og solrigt vejr.	meget blæsende.	1
Jeg tager fra København til Aarhus i morgen, og det passer lige med at jeg kan tage en lille frokostpause i	Aalborg på vejen.	Odense på vejen.	1
Da hele familien skulle på den længe ventede sommerferie til Bornholm, så skulle de lige igennem	Sverige.	Norge.	0
At gå til tandlægen er	gratis.	dyrt.	1
Han vandede sine altanplanter, men så blev hans	overbo pludselig våd.	underbo pludselig våd.	1
Hun var advokat og var derfor ret velhavende, så selvfølgelig havde hun et sommerhus i	Vestsjælland.	Nordsjælland.	1
Til julefrokosten fik Fatima et glas gløgg men kom til at spilde det, så hun fik	en rød plet på trøjen.	en grøn plet på trøjen.	0
Imens han var igang med at bygge den nye overdækkede altan, tabte Jakob en hammer lige ned på sin storetå og	det gjorde slet ikke ondt.	det gjorde virkelig ondt.	1
Jens Peters hjemmelavet suppe er brandvarm, og derfor kan det være en rigtig god ide at vente et par minutter med at spise for ikke at	brænde sin tunge.	brænde sin hånd.	0
Amin kan godt lide at hinke på legepladsen, hvor han selv har tegnet en bane med kridt. Han mister nogle gange balancen, hvis han rammer	streger på kridtbanen.	sten på kridtbanen.	1
Lasse var til sidste skoledag for at samle karameller, men da han fik en karamel i hovedet, blev han	meget glad fordi det gjorde ondt.	meget ked af det fordi det gjorde ondt.	1
Når børnene banker på døren til fastelavn synger de ‘fastelavn er mit navn ...’ og får en masse	slik.	bank.	0
Familien var på vej hjem fra et besøg hos bedstemor, da deres bil snittede en varevogn på en landevej, og det gjorde, at de endte i	butikken.	grøften.	1
Bukserne blev helt våde, da han blev bange, fordi han	tissede i bukserne.	tissede i toilet.	0
Jeg har en ven, som jeg tænker må være ret stærk. Hun går ofte i fitness og hun kan løfte, hvad der svarer til	et køleskab.	en hammer.	0
Aya og Andreas elsker at suse ned af bjerget på ski, men i dag gik det for hurtigt. Andreas vred om på knæet, da en af hans ski sad fast i	græsset.	sneen.	1
For at vinen i glasset ikke bliver varm af ens hænder bør man holde på	glasset.	stilken.	1
Lone sad på lærerværelset og drak sin kop kaffe, men i en pludselig armbevægelse ramte hun koppen, og den ramte jorden, hvor den	gik i stykker.	gav et hop.	0
Et bildæk fra en Mercedes er tungere end	et klaver.	en skuetrækker.	1
Når jeg kører et tungt program på min computer, bliver den varm og begynder at	ryste voldsomt. Jeg er nødt til at slukke programmet for at det stopper.	blæse voldsomt. Jeg er nødt til at slukke programmet for at det stopper.	1
Hun blev rasende, da hun tabte tenniskampen, så hun smadrede ketcheren i jorden gentagne gange, og den blev helt skæv. Den kan	sagtens fikses.	ikke fikses.	1
Hvis man sætter en gummiand i vand, så	flyder den.	synker den.	0
Jeg har netop fået en Kay Boyesen abe, den kan	hænge i armen. Jeg fik den i gave til min fødselsdag.	sige lyde. Jeg fik den i gave til min fødselsdag.	0
For at undgå at man kan falde ud, skal en studentervogn have	lave gelændere. Der sker dog stadig næsten årligt på landsplan.	høje gelændere. Der sker dog stadig næsten årligt på landsplan.	1
Hvis man er til fest og gerne vil have at ens kolde øl smager godt	er det vigtigt at den ikke er rystet inden man åbner den.	er det vigtigt at den er rystet inden man åbner den.	0
Hvis min mad er meget vandig, og jeg vil varme det i mikroovnen, skal jeg passe på, at det ikke overopheder, fordi det kan pludseligt	udtørre.	eksplodere.	1
For at få det sidste aioli ud, skal jeg	ryste og banke kraftigt på plastikdutten.	ryste og banke blidt på plastikdutten.	0
Sana har købt knæklys til nytår. De begynder først at lyse efter at de	er blevet kolde.	er blevet knækket.	1
Børnene må ikke lege med fyrværkeri, men de må lege med knaldperler. Når børnene kaster knaldperler ned i jorden, så	siger de en høj lyd.	siger de ingen lyd.	0
For at lave biksemad, skal man bruge løg, kogte kartofler, stegt kød	og noget fedtstof til at stege det hele i, fx smør eller margarine.	og noget fedtstof til at stege det hele i, fx smør eller vaseline.	1
En flok venner sidder ved et bord og de har hver især en fadbamse.	De hygger sig og skåler med fadbamsen.	De hygger sig og krammer fadbamsen.	0
Det gik voldsomt for sig da børnene slog på fastelavnstønden. En efter en slog de på tønden med et bat. Pludselig faldt bunden ud og	gulvet blev dækket af vin.	gulvet blev dækket med slik.	1
Hvis man beskriver en persons hår som at være kommunefarvet, så er hårfarven	rødbrunt, men ikke helt blond.	lysebrunt, men ikke helt blond.	1
Hvis jeg fortæller dig en om min ven Kasper som er taget på højskole i sommerferien og han er taget afsted alene. Er det så mest sandsynligt at	han er en voksen.	han er et barn.	0
Jeg har arbejdet hårdt i min kolonihave, hvor jeg har bed med både grøntsager og smukke blomster. Når jeg bliver træt og vil sove, skal jeg dog	først pakke værktøjet sammen og rejse væk.	først pakke værktøjet sammen og tage hjem.	1
Man bager fødselsdagsboller ved først at smelte smøret og hælde det i en skål. Derefter tilsætter man mælk og gæren samt sukker og salt. Det hele røres sammen med melet.	Nu skal dejen hæve et koldt sted i ca. 45 min før dejen formes til boller	Nu skal dejen hæve et lunt sted i ca. 45 min før dejen formes til boller.	1
I dag skal vi fejre en fødselsdag og der er derfor pyntet flot op med en masse fødselsdagsflag. Det pynter så flot med de	farverige flag.	rød-hvide flag.	1
En familie på fire skal ud og spise på restaurant. De ankommer til restauranten cirka kl. 22 og har ikke booket et bord. De får at vide at de ikke kan få et bord fordi	de kommer for sent.	de kommer for tidligt.	0
Klokken er 22.00 og jeg har lige fundet ud af at jeg mangler en liter mælk. Jeg vil derfor hurtigt smutte ud til en butik. Da jeg ankommer til butikken ser jeg at	butikken er lukket.	butikken er åben.	0
Til en fest i det lokale forsamlingshus rejser onkel Jens sig op for at holde en tale. I sin ivrighed under talen vifter han frem og tilbage med sine hænder, hvori han i den ene holder på en bajerflaske.	Øllet i flasken vibrerer med bevægelserne.	Øllet i flasken skulvper med bevægelserne.	1
Ude i haven står en sort balje på et bord. Jeg tager haveslangen for at hælde vand i baljen. Da jeg gør det, så	løber vandet ned og videre ud af baljen.	løber vandet ned og bliver i baljen.	1
En person er i gang med at lave mad i køkkenet. Han har en kande med bouillon som han hælder ned i et dørslag.	Bouillonen løber ned og videre ud af dørslaget.	Bouillonen løber ned og bliver i dørslaget.	0
På mit arbejde har jeg fundet en pølsetaske ude i køkkenet. Jeg ved ikke hvis det er, men jeg beslutter mig for at undersøge den nærmere.	Når jeg stikker min hånd i tasken føles den kold.	Når jeg stikker min hånd i tasken føles den normal.	1
Der er nogen som har lavet en gammeldags æblekage til mig. De har sagt at den lige er færdig og jeg kan finde den	i køleskabet.	i ovnen.	0
Når man skal lave tebirkes, eller københavnerbirkes, skal man gøre det følgende. Først skal man lave en dej som rulles ud i et rektangel. Dejen skæres ud på langs, så man har to strimler af dej.	Hver strimmel skal foldes hen over sig selv til en pølse. Birkes drysses på toppen. Med en kagerulle rulles dejen flad. Skær 6m brede stykker ud. Disse bages efter de har hævet.	Birkes drysses på toppen. Hver strimmel skal foldes hen over sig selv til en pølse. Med en kagerulle rulles dejen flad. Skær 6m brede stykker ud. Disse bages efter de har hævet.	0
Da jeg kom hjem fra skole stod en karton tykmælk på køkkenbordet. Den havde stået der siden i morges. Jeg mærkede på den og	den var en koldere temperatur end rummet.	den var samme temperatur som rummet.	1
I en opskrift på vaniljekranse står der at man skal	putte dejen i en sprøjtepose, straks sprøjte dejen ud til kranse og bage kagerne i 10-12 minutter.	putte dejen i en sprøjtepose, bage kagerne i 10-12 minutter og straks sprøjte dejen ud til kranse.	0
I min hånd har jeg en håndfuld vårsæd som jeg har fået af en landmand. Når jeg åbner hånden og vender den på hovedet, så	Drysser vårsæden ned.	Drypper vårsæden ned.	0
En sparebøsse står på en kommode inde på et soveværelse. En pige samler den op og ryster den. Hvad sker der?	Den skummer fordi den ikke er tom.	Den rasler fordi den ikke er tom.	1
Jeg skal til at lave noget råkost med hvidkål og gulerødder. Efter at have brugt et råkostjern til at behandle grøntsagerne, så er de blevet	skåret i tynde skiver.	skåret i tynde strimler.	1
Silas sidder i kantinen og der er meget larm. Han bliver så forstyrret at han vælger at bruge sine hørebøffer.	Når han tager hørebøfferne på, så klistrer de på ørerne.	Når han tager hørebøfferne på, så dækker de for ørerne.	1
En håndværker står foran en dør og arbejder. Han har en svensknøgle siddende i sit arbejdsbælte. Da han skal bruge den, taber han den på gulvet.	Der lød en lille raslen.	Der lød et ordentligt dump.	1
Min veninde Lærke har fået sig sådan en smart anorak som er dejlig varm og har gode lommer.	Man tager den på ved at trække ned i lynlåsen.	Man tager den på ved at trække den over hovedet.	1
I den Danske Folkekirke bærer præsterne præstekjole når de holder gudstjeneste. De er lette at genkende da præstekjolen altid er sort og kraven har	tætte folder.	ingen folder.	0
Inde på sit kontor sidder Markus og læser op til eksamen. Han er rigtig sulten og tager derfor sin frokost op. Da han tager en bid af sit knækbrød	så slubrer det.	så knaser det.	1
På min ferie tog jeg på en kort sørejse fra Aarhus til Anholt. Vandet var så klart at jeg ikke kunne lade være med at smage på det.	Det smagte dog saltet.	Det smagte dog friskt.	0
Det er en solrig dag og jeg vil gerne gå en tur med min hund. Jeg har planer om at gå gennem et parcelhuskvarter.	Her er husene høje nok til at dække for solen.	Her er husene for lave til at dække for solen.	1
På en væg hænger der en lille amagerhylde. Den er fyldt med ting, men der er måske plads til lidt mere. Når jeg stiller min fine brevvægt på den, så	bliver hylden hængende på væggen.	falder hylden ned fra væggen.	0
Et lille barn leger på vejen. Naboens hund har sneget sig ud af haven gennem et lille hul i hækken. Barnet prøver at lege med hunden, men den skambider barnet på hånden.	Nu bløder hånden voldsomt.	Nu bløder hånden lidt.	0
I et lille bageri er en bagerlærling i gang med at bage en portion peberkager. Han putter en hel skål peber i dejen i stedet for en spiseske.	Nu er dejen for tør.	Nu er dejen for våd.	0
Jeg er i gang med at lave noget pynt ud af noget pap og papir. Jeg stiller saksen på højkant og den	vælter ned på bordet.	bliver stående sådan på bordet.	0
Når jeg er færdig med at drikke min øl, smider jeg den tomme flaske i	kompostbeholderen, så glasset kan nedbrydes.	pantautomaten, så den kan blive genbrugt.	1
Jeg har modtaget en pakke, og skal nu til at smide papkassen i genbrugscontaineren. Derfor	lader jeg den være samlet, og smider den i containeren.	flader jeg den ud, og smider den i containeren.	1
Jeg har lige bagt boller. Det dufter dejligt og man bliver helt sulten. Så jeg tager smøret ud af køleskabet. Smøret er	nemt at smøre ud.	svært at smøre ud.	1
Det er en meget kold vintermorgen i januar, og jeg vil køre i bil på arbejde. Inden jeg kører	fjerner jeg is fra forruden med varmt vand.	fjerner jeg is fra forruden med en isskraber.	1
Da jeg var i gang med at dyrke yoga hjemme i stuen, kom jeg til at slå hovedet ind i hylden med min monstrea	så den faldt ned og gik i stykker. Der er nu støv ud over det hele.	så den faldt ned og gik i stykker. Der er nu jord ud over det hele.	1
Martha og Deniz elsker at spille Wii med deres venner. En dag blev de dog så sure over at tabe i Wii-sports til Ida og Hana, at de begge smed deres Wii-controlllere direkte ind i fjernsynet. Det gjorde, at 	skærmen på fjernsynet rullede.	skærmen på fjernsynet flækkede.	1
Signe er lige blevet student og har derfor fået en studenterhue. Hun sender den på runde blandt sine venner	så de alle sammen kan bide i den.	så de alle sammen kan beundre den.	0
